,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Fate/Kaleid Liner Prisma Illya Season 2,Fate/kaleid liner プリズマ☆イリヤ ツヴァイ!,7.44,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Tokyo MX, Kadokawa Media House",BD,Completed,10,23 Menit / Episode,"Jul 10, 2014 sampai Sep 11, 2014",Silver Link.,"Action, Comedy, Fantasy, Magic, Slice of Life"
1,Fate/kaleid liner Prisma Illya,Fate/kaleid liner プリズマ☆イリヤ,7.25,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Notes, Dwango, Tokyo MX, Docomo Anime Store, Kadokawa Media House",BD,Completed,10,24 Menit / Episode,"Jul 13, 2013 sampai Sep 14, 2013",Silver Link.,"Action, Comedy, Fantasy, Magic"
2,Flying Witch,ふらいんぐうぃっち,7.61,"VAP, Kodansha, Magic Capsule, Nippon Television Network, RAB Aomori Broadcasting, Nippon Television Music",BD,Completed,12,23 Menit / Episode,"Apr 10, 2016 sampai Jun 26, 2016",J.C.Staff,"Comedy, Magic, Shounen, Slice of Life, Supernatural"
3,Fate/Zero Season 2,フェイト/ゼロ 2ndシーズン,8.67,"Aniplex, Nitroplus, Seikaisha, Notes",BD,Completed,12,24 Menit / Episode,"Apr 8, 2012 sampai Jun 24, 2012",ufotable,"Action, Fantasy, Magic, Supernatural"
4,Fate/Zero,フェイト/ゼロ,8.46,"Aniplex, Nitroplus, Seikaisha, Notes",BD,Completed,13,28 Menit / Episode,"Oct 2, 2011 sampai Dec 25, 2011",ufotable,"Action, Fantasy, Magic, Supernatural"
5,Hanayamata,ハナヤマタ,7.39,"TV Tokyo, Avex Entertainment, Sotsu, Movic, AT-X, DIVE II Entertainment, Bandai Namco Games",BD,Completed,12,24 Menit / Episode,"Jul 8, 2014 sampai Sep 23, 2014",Madhouse,"Comedy, School, Seinen, Slice of Life"
6,Buddy Complex,バディ・コンプレックス,7.27,"Bandai Visual, Lantis, Bandai Namco Live Creative, Bandai Namco Games, Banpresto, Bandai Channel",BD,Completed,13,24 Menit / Episode,"Jan 6, 2014 to Mar 31, 2014",Sunrise,"Action, Mecha, Sci-Fi"
7,Gakkou Gurashi!,がっこうぐらし！,7.69,"Nitroplus, NBCUniversal Entertainment Japan",BD,Completed,12,24 Menit / Episode,"Jul 9, 2015 sampai Sep 24, 2015",Lerche,"Horror, Mystery, Psychological, School, Seinen, Slice of Life"
8,Witch Craft Works,ウィッチクラフトワークス,7.2,"Bandai Visual, Lantis, Kodansha, Movic, I Will",BD,Completed,12,23 Menit / Episode,"Jan 5, 2014 sampai Mar 23, 2014",J.C.Staff,"Action, Fantasy, Magic, Seinen, Supernatural"
9,Blade & Soul,ブレイドアンドソウル,6.21,TBS,BD,Completed,13,24 Menit / Episode,"Apr 4, 2014 sampai Jun 27, 2014",Gonzo,"Action, Adventure, Fantasy, Martial Arts"
10,"Inari, Konkon, Koi Iroha.",いなり、こんこん、恋いろは。,7.27,"DAX Production, flying DOG",BD,Completed,10,24 Menit / Episode,"Jan 16, 2014 sampai Mar 20, 2014",Production IMS,"Comedy, Romance, School, Seinen, Supernatural"
11,Love Lab,恋愛ラボ,7.45,"Aniplex, Dentsu, Mainichi Broadcasting System",BD,Completed,13,24 Menit / Episode,"Jul 5, 2013 sampai Sep 27, 2013",Doga Kobo,"Comedy, Romance, School"
12,Mahou Shoujo Ikusei Keikaku,魔法少女育成計画,7.14,"Genco, AT-X, Magic Capsule, flying DOG, Cospa, Toranoana, Medicos Entertainment, Animatic, Highlights Entertainment",BD,Completed,12,24 Menit / Episode,"Oct 2, 2016 sampai Dec 18, 2016",Lerche,"Action, Fantasy, Magic, Supernatural, Thriller"
13,Danganronpa: The Animation,ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION,7.48,"Geneon Universal Entertainment, Mainichi Broadcasting System, Showgate",BD,Completed,13,24 Menit / Episode,"Jul 5, 2013 sampai Sep 27, 2013",Lerche,"Action, Horror, Mystery, Psychological"
14,Baka to Test to Shoukanjuu Season 2,バカとテストと召喚獣 にっ！,7.93,"Lantis, Media Factory, Enterbrain, Cospa, Kadokawa Contents Gate, TV Tokyo Music, PRA, T.O Entertainment, Hakuhodo DY Media Partners",BD,Completed,13,24 Menit / Episode,"Jul 8, 2011 sampai Sep 30, 2011",Silver Link.,"Comedy, Romance, School, Super Power"
15,Baka to Test to Shoukanjuu,バカとテストと召喚獣,7.78,"Lantis, Media Factory, Cospa, T.O Entertainment",BD,Completed,13,24 Menit / Episode,"Jan 7, 2010 sampai Apr 1, 2010",Silver Link.,"Comedy, Romance, School, Super Power"
16,Black Lagoon,BLACK LAGOON,8.14,"Geneon Universal Entertainment, Shogakukan",BD,Completed,12,24 Menit / Episode,"Apr 9, 2006 sampai Jun 25, 2006",Madhouse,"Action, Seinen"
17,Claymore,クレイモア,7.9,"VAP, Avex Entertainment, Nippon Television Network Corporation",BD,Completed,26,23 Menit / Episode,"Apr 4, 2007 sampai Sep 26, 2007",Madhouse,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural"
18,Magi: The Kingdom of Magic,マギ The kingdom of magic,8.45,"Aniplex, Dentsu, Shogakukan Productions, Mainichi Broadcasting System, Movic, GYAO!",BD,Completed,25,25 Menit / Episode,"Oct 6, 2013 sampai Mar 30, 2014",A-1 Pictures,"Action, Adventure, Fantasy, Magic, Shounen"
19,Magi: The Labyrinth of Magic,マギ The labyrinth of magic,8.22,"Aniplex, Dentsu, Shogakukan Productions, Mainichi Broadcasting System, Movic, GYAO!",BD,Completed,25,24 Menit / Episode,"Oct 7, 2012 sampai Mar 31, 2013",A-1 Pictures,"Action, Adventure, Fantasy, Magic, Shounen"
20,Overlord,オーバーロード,8.05,"Kadokawa Shoten, Grooove",BD,Completed,13,24 Menit / Episode,"Jul 7, 2015 sampai Sep 29, 2015",Madhouse,"Action, Adventure, Fantasy, Game, Magic, Supernatural"
21,Mayo Chiki!,まよチキ!,7.49,"Starchild Records, Media Factory, TBS, DAX Production, PRA, RAY",BD,Completed,13,24 Menit / Episode,"Jul 8, 2011 sampai Sep 30, 2011",feel.,"Comedy,  , Harem, Romance, School"
22,Nejimaki Seirei Senki: Tenkyou no Alderamin,ねじ巻き精霊戦記 天鏡のアルデラミン,7.9,"Imagin, Magic Capsule, Warner Bros., KlockWorx, ASCII Media Works, BS Fuji",BD,Completed,13,23 Menit / Episode,"Jul 9, 2016 sampai Oct 1, 2016",Madhouse,"Action, Adventure, Fantasy, Military"
23,Phantom: Requiem for the Phantom,Phantom 〜Requiem for the Phantom〜,8.12,Genco,BD,Completed,26,24 Menit / Episode,"Apr 3, 2009 sampai Sep 25, 2009",Bee Train,"Action, Drama, Seinen, Thriller"
24,Seitokai Yakuindomo Season 2,生徒会役員共＊,7.83,Starchild Records,BD,Completed,13,23 Menit / Episode,"Jan 4, 2014 sampai Mar 30, 2014",GoHands,"Comedy, School, Shounen, Slice of Life"
